"Part";"Value";"Device";"Package";"Description";"BOM";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"MF";"MP";"PACKAGE";"POPULARITY";"PURCHASE-URL";"TP_SIGNAL_NAME";
"Q2";"reset";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";"";"";"";"";"";
"R1";"10K";"RESISTOR_0402NO";"_0402NO";"Resistors";"";"";"";"";"";"";"";"";"";
"R3";"0";"RESISTOR_0402NO";"_0402NO";"Resistors";"";"";"";"";"";"";"";"";"";
"R5";"5.1K";"RESISTOR_0402NO";"_0402NO";"Resistors";"";"";"";"";"";"";"";"";"";
"R6";"5.1K";"RESISTOR_0402NO";"_0402NO";"Resistors";"";"";"";"";"";"";"";"";"";
"R17";"1Meg";"RESISTOR_0402NO";"_0402NO";"Resistors";"";"";"";"";"";"";"";"";"";
"SWC1";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";"19";"";"";
"SWC2";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";"19";"";"";
"U$6";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";"";"";"";
"U$8";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";"";"";"";
"U1";"AP2112K-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";"";
"VBAT";"";"TESTPOINT_PLUS13";"TESTPOINT_PLUS_1X3MM";"Test Point";"";"";"";"";"";"";"";"";"";
"X1";"2.4 GHz Antenna";"ANTENNA_JOHANSON_2450AT18B100";"ANT_2450AT18B100";"Johanson 2.4GHz Chip Antenna (1206 Package)";"";"";"";"";"";"";"";"";"";
"X2";"ESP32-S3QFN54";"ESP32-S3QFN54";"QFN56_7X7";"";"";" WiFi 802.11b/g/n Transceiver Module 2.4GHz Antenna Not Included Surface Mount ";"1965-ESP32-S2CT-ND";"Espressif Systems";"ESP32-S2";"None";"";"https://pricing.snapeda.com/search/part/ESP32-S2/?ref=eda";"";
"X6";"USB TYPE C";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"USB Type-C USB 2.0 Connector";"";"";"";"";"";"";"";"";"";
"Y1";"40MHz";"CRYSTAL_2X1.6MM";"CRYSTAL_2X1.6";"Crystals";"";"";"";"";"";"";"";"";"";
