"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"JP58";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP59";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP60";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP61";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP62";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP63";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP64";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP65";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP66";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP67";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP68";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP69";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP70";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP71";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP72";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP73";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP74";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP75";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP76";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP77";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP78";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP79";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP80";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP81";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP82";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP83";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP84";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP85";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP86";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP87";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP88";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP89";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP90";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP91";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP92";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP93";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP94";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP95";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP96";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP97";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP98";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP99";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP100";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP101";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP102";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP103";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP104";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP105";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP106";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP107";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP108";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP109";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP110";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP111";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP112";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP113";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP114";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP115";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP116";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP117";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP118";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP119";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP120";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP121";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP122";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP123";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP124";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"JP125";"";"M10NO_SILK_PTH_FEMALE";"1X10_NO_SILK";"Header 10";"CONN-11563";
"LOGO1";"SFE_LOGO_FLAME0.05_INCH";"SFE_LOGO_FLAME0.05_INCH";"SFE_LOGO_FLAME_.05";"SFE Logo, flame only";"";
"LOGO2";"SFE_LOGO_FLAME0.05_INCH";"SFE_LOGO_FLAME0.05_INCH";"SFE_LOGO_FLAME_.05";"SFE Logo, flame only";"";
