"Part";"Value";"Device";"Package";"Description";"SPICEPREFIX";
"LOGO1";"LOGO_CC-0";"LOGO_CC-0";"LOGO_CC-0";"";"";
"PCB1";"PCB_DP_RECTANGLE-50X100";"PCB_DP_RECTANGLE-50X100";"DP10050_V1";"Dangerous Prototypes Standard Rectangular PCB sizes";"";
"Q1";"DMMT3906W";"TRANSISTOR-BJT_DMMT3906W";"SOT-363";"Matched pair PNP small signal transistor -40V -200mA";"";
"Q2";"";"TRANSISTOR_FET_TSM2301CX";"SOT-23";"20V P-Channel Enhancement Mode MOSFET";"";
"R1";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R2";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R3";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R4";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R5";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R6";"1M";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R7";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R8";"1M";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R9";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R10";"1M";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R11";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R12";"1M";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R13";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R14";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R15";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R16";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R17";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R18";"1M";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R19";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R20";"1M";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R21";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R22";"1M";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R23";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R24";"1M";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R25";"10K";"RESISTOR-0603";"R603";"";"";
"R26";"";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"R";
"R27";"10K";"RESISTOR-0603";"R603";"";"";
"R28";"0R";"RESISTOR-0603";"R603";"";"";
"R29";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"R";
"R30";"78.7K";"RESISTOR-0603";"R603";"";"";
"R31";"100K";"RESISTOR-0603";"R603";"";"";
"R32";"50K";"RESISTOR-0603";"R603";"";"";
"R33";"";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R34";"";"RESISTOR-0603";"R603";"";"";
"R35";"";"RESISTOR-0603";"R603";"";"";
"R36";"";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R37";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"R";
"R38";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"R";
"R39";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R40";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R41";"1.5K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"R";
"R42";"22R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"R";
"R43";"22R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"R";
"R44";"5K1";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"R";
"R45";"5K1";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"R";
"R46";"1K1";"RESISTOR-0603";"R603";"";"";
"R47";"1K1";"RESISTOR-0603";"R603";"";"";
"R48";"1K1";"RESISTOR-0603";"R603";"";"";
"R49";"1K1";"RESISTOR-0603";"R603";"";"";
"RN1";"2K";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN2";"2K";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN3";"10K";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"U1";"74LVC1G07DBV";"IC_BUFF_74LVC1G07-EXTENDED";"SC-70-5_EXTENDED_PADS";"Single buffer/driver with open drain output";"";
"U2";"74LVC1G07DBV";"IC_BUFF_74LVC1G07-EXTENDED";"SC-70-5_EXTENDED_PADS";"Single buffer/driver with open drain output";"";
"U3";"74LVC1G07DBV";"IC_BUFF_74LVC1G07-EXTENDED";"SC-70-5_EXTENDED_PADS";"Single buffer/driver with open drain output";"";
"U4";"74LVC1G07DBV";"IC_BUFF_74LVC1G07-EXTENDED";"SC-70-5_EXTENDED_PADS";"Single buffer/driver with open drain output";"";
"U5";"STM32F103ZX";"IC_UC_STM32F103ZX";"TQFP-144";"STM32F103ZX";"";
"U6";"74LVC1G07DBV";"IC_BUFF_74LVC1G07-EXTENDED";"SC-70-5_EXTENDED_PADS";"Single buffer/driver with open drain output";"";
"U7";"74LVC1G07DBV";"IC_BUFF_74LVC1G07-EXTENDED";"SC-70-5_EXTENDED_PADS";"Single buffer/driver with open drain output";"";
"U8";"74LVC1G07DBV";"IC_BUFF_74LVC1G07-EXTENDED";"SC-70-5_EXTENDED_PADS";"Single buffer/driver with open drain output";"";
"U9";"74LVC1G07DBV";"IC_BUFF_74LVC1G07-EXTENDED";"SC-70-5_EXTENDED_PADS";"Single buffer/driver with open drain output";"";
"U10";"74HCT4066PW";"IC_74HCT4066PW";"TSSOP-14";"Quad single-pole single-throw analog switch";"";
"U11";"74HCT4066PW";"IC_74HCT4066PW";"TSSOP-14";"Quad single-pole single-throw analog switch";"";
"U12";"W25X40CL";"IC_MEM_W25X40CL";"SOIC-8";"4M-Bit serial flash memory with 4KB sectors and Dual I/O SPI";"";
"U13";"74LVC245A";"IC_BUFF_74LVC245A-TSSOP20";"TSSOP-20";"Octal Bus transceiver with 3-state, 3.3V supply";"";
"U14";"MCP6001";"IC_OP-AMP_MCP6001";"SOT-23-5";"1 MHz, Low-Power Op Amp";"";
"U15";"MCP6001";"IC_MCP6001";"SOT-23-5";"1 MHz, Low-Power Op Amp";"";
"U16";"ICE40HX4K";"IC_FPGA_ICE40HX4K";"TQFP-144";"iCE40HX4K";"";
"VR1";"MCP1801T-3302I/OT";"MIC5205";"SOT-23-5@1";"150ma Low-Noise LDO Regulator";"";
"VR2";"MCP1801T-1202I/OT";"MIC5205";"SOT-23-5@1";"150ma Low-Noise LDO Regulator";"";
"XTAL1";"8Mhz";"OSC-XTAL-12M";"XTAL_4X6";"";"";
