Partlist

Exported from boardEagle.brd at 20/08/2022 05:32

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                                Package                                  Library                      Position (mm)         Orientation
TP5      TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (31.75 34.29)         MR0
TP6      TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (29.21 34.29)         MR0
TP7      TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (59.69 7.62)          MR0
TP8      TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (49.53 43.18)         MR0
TP9      TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (54.61 46.99)         MR0
TP10     TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (64.77 38.1)          MR0
TP11     TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (58.42 54.61)         MR0
TP12     TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (24.13 44.45)         MR0
TP13     TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (34.29 34.29)         MR0
TP14     TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (25.67 31.75)         MR0
TP15     TEST-POINT3X5                        PAD.03X.05                               SparkFun-Connectors          (59.69 19.05)         MR0
U1       Raspberry Pi Header                  RASPBERRY_PI_SHIELD_BOTTOM_ENTRY_NOHOLES SparkFun-Connectors          (0 57.25)             MR180
U2       ADMP401                              ADMP401                                  SparkFun-Sensors             (67 4.5)              R270
U3       ADMP401                              ADMP401                                  SparkFun-Sensors             (67 52.77)            R270
U4       WM8960                               QFN-32                                   SparkFun-IC-Special-Function (72 42.5)             R270
U5       ATTINY84                             SO14                                     SparkFun-IC-Microcontroller  (69.5 13.5)           R270
Y1       24 MHz                               RESONATOR-SMD-3.2X2.5                    SparkFun-Clocks              (66.5 44.5)           R270
