"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_ID";"VALUE";"VERSION";
"C54";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C55";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C56";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C57";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"C58";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"CAP-00810";"";"0.1uF";"";
"D1";"RED";"LED-REDLILYPAD";"LED-1206";"Assorted Red LEDs";"";"DIO-09912";"";"RED";"";
"D2";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Various green LEDs";"";"DIO-09910";"";"GREEN";"";
"D3";"RED";"LED-REDLILYPAD";"LED-1206";"Assorted Red LEDs";"";"DIO-09912";"";"RED";"";
"D4";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Various green LEDs";"";"DIO-09910";"";"GREEN";"";
"D5";"RED";"LED-REDLILYPAD";"LED-1206";"Assorted Red LEDs";"";"DIO-09912";"";"RED";"";
"D6";"Yellow";"LED-YELLOWLILYPAD";"LED-1206";"Yellow SMD LEDs";"";"DIO-09909";"";"Yellow";"";
"D7";"RED";"LED-REDLILYPAD";"LED-1206";"Assorted Red LEDs";"";"DIO-09912";"";"RED";"";
"D8";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Various green LEDs";"";"DIO-09910";"";"GREEN";"";
"D9";"RED";"LED-REDLILYPAD";"LED-1206";"Assorted Red LEDs";"";"DIO-09912";"";"RED";"";
"D10";"Yellow";"LED-YELLOWLILYPAD";"LED-1206";"Yellow SMD LEDs";"";"DIO-09909";"";"Yellow";"";
"D11";"BLUE";"LED-BLUE1206";"LED-1206";"Blue LEDs for production use";"";"DIO-09911";"";"BLUE";"";
"D12";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Various green LEDs";"";"DIO-09910";"";"GREEN";"";
"D13";"RED";"LED-REDLILYPAD";"LED-1206";"Assorted Red LEDs";"";"DIO-09912";"";"RED";"";
"D14";"Yellow";"LED-YELLOWLILYPAD";"LED-1206";"Yellow SMD LEDs";"";"DIO-09909";"";"Yellow";"";
"D15";"GREEN";"LED-GREENLILYPAD";"LED-1206";"Various green LEDs";"";"DIO-09910";"";"GREEN";"";
"D16";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"";"DIO-08053";"";"MBRA140";"";
"D17";"MBRA140";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"";"DIO-08053";"";"MBRA140";"";
"D18";"BLUE";"LED-BLUE1206";"LED-1206";"Blue LEDs for production use";"";"DIO-09911";"";"BLUE";"";
"F1";"PTCSMD";"PTCSMD";"PTC-1206";"Resettable Fuse PTC";"";"RES-11150";"";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"Casey Kuhns";"";"";"";"v02";
"FRAME2";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame";"Casey Kuhns";"";"";"";"v02";
"J1";"AVR ISP";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"";"";
"JP1";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"JP2";"";"M13X22X13";"2X13";"0.1" spaced headers";"";"";"";"";"";
"JP3";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"JP4";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"JP5";"USB-B";"USBPTH";"USB-B-PTH";"USB Connectors";"";"CONN-08278";"";"USB-B";"";
"JP6";"POWER";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"Power Jack";"";"CONN-08197";"PRT-00119";"";"";
"JP8";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"JP9";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"JP15";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"JP19";"";"M12PTH";"1X12";"Header 12";"";"";"";"";"";
"L1";"27uH";"INDUCTORSDR13-7-270ML";"INDUCTOR_SDR1307";"Inductors";"";"NDUC-12529";"";"27uH";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME.2_INCH";"SFE_LOGO_NAME_FLAME_.2";"SFE Logo, name and flame";"";"";"";"";"";
"POT1";"10K_LINEAR_POT_SMD";"10K_LINEAR_POT_SMD";"TC33X";"";"";"RES-12428";"";"";"";
"POT2";"10K_LINEAR_POT_SMD";"10K_LINEAR_POT_SMD";"TC33X";"";"";"RES-12428";"";"";"";
"POT3";"10K_LINEAR_POT_SMD";"10K_LINEAR_POT_SMD";"TC33X";"";"";"RES-12428";"";"";"";
"Q1";"16MHZ";"RESONATOR16MHZ";"RESONATOR-SMD";"Resonator";"";"XTAL-08900";"";"16MHZ";"";
"Q2";"100A/100V";"MOSFET-NCHANNELPSMN7R0";"TO-263/D2PAK";"Common NMOSFET Parts";"";"TRANS-12437";"";"100A/100V";"";
"R1";"0";"0OHM-1/10W-5%(0603)";"0603";"RES-08609";"";"RES-08609";"";"0";"";
"R2";"0.1";"0.1OHM-1/2W-1%(1210)";"1210";"";"";"RES-12374";"";"";"";
"R3";"0.1";"0.1OHM-1/2W-1%(1210)";"1210";"";"";"RES-12374";"";"";"";
"R4";"39K";"39KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12377";"";"";"";
"R5";"39K";"39KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12377";"";"";"";
"R6";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R7";"5.6K";"5.6KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12378";"";"";"";
"R8";"5.6K";"5.6KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12378";"";"";"";
"R9";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"1K";"";
"R10";"0.1";"0.1OHM-1/2W-1%(1210)";"1210";"";"";"RES-12374";"";"";"";
"R11";"0.1";"0.1OHM-1/2W-1%(1210)";"1210";"";"";"RES-12374";"";"";"";
"R12";"39K";"39KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12377";"";"";"";
"R13";"39K";"39KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12377";"";"";"";
"R14";"5.6K";"5.6KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12378";"";"";"";
"R15";"5.6K";"5.6KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12378";"";"";"";
"R16";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R17";"0";"0OHM-1/10W-5%(0603)";"0603";"RES-08609";"";"RES-08609";"";"0";"";
"R18";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"1K";"";
"R19";"0.1";"0.1OHM-1/2W-1%(1210)";"1210";"";"";"RES-12374";"";"";"";
"R20";"0.1";"0.1OHM-1/2W-1%(1210)";"1210";"";"";"RES-12374";"";"";"";
"R21";"39K";"39KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12377";"";"";"";
"R22";"39K";"39KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12377";"";"";"";
"R23";"5.6K";"5.6KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12378";"";"";"";
"R24";"5.6K";"5.6KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12378";"";"";"";
"R25";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R26";"0";"0OHM-1/10W-5%(0603)";"0603";"RES-08609";"";"RES-08609";"";"0";"";
"R27";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R28";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R29";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R30";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"1K";"";
"R31";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R32";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R33";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"1K";"";
"R34";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"1K";"";
"R35";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R36";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"1K";"";
"R37";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R38";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R39";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R40";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R41";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R42";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R43";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R44";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R45";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R46";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R47";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R48";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"1K";"";
"R49";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"RES-07856";"";"RES-07856";"";"1K";"";
"R50";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"1K";"";
"R51";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R52";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R53";"9.76K";"9.76KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12534";"";"";"";
"R54";"50.0m";"0.05OHM-1/5W-1%(0603)";"0603";"";"";"RES-12535";"";"";"";
"R55";"348K";"348KOHM-1/10W-1%(0603)";"0603";"";"";"RES-12533";"";"";"";
"R56";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"RES-00824";"";"10K";"";
"R57";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"1K";"";
"R58";"1K";"1KOHM1/10W1%(0603)";"0603-RES@1";"RES-07856";"";"RES-07856";"";"1K";"";
"S1";"2-POS-DIPCTS-THRU-HOLE";"2-POS-DIPCTS-THRU-HOLE";"209-2LPST";"SMD dip switch 2 positions";"";"SWCH-12532";"";"";"";
"S2";"2-POS-DIPCTS-THRU-HOLE";"2-POS-DIPCTS-THRU-HOLE";"209-2LPST";"SMD dip switch 2 positions";"";"SWCH-12532";"";"";"";
"S3";"2-POS-DIPCTS-THRU-HOLE";"2-POS-DIPCTS-THRU-HOLE";"209-2LPST";"SMD dip switch 2 positions";"";"SWCH-12532";"";"";"";
"S4";"Reset";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"SWCH-08247";"";"";"";
"S5";"DPDT";"SWITCH-DPDTAYZ0202";"AYZ0202";"DPDT Version of the COM-00597";"";"SWCH-08179";"";"DPDT";"";
"U1";"ATMEGA328";"ATMEGA328_SMT";"TQFP32-08@1";"32-Pin Atmega328 part";"";"IC-09069";"";"ATMEGA328P";"";
"U2";"FT232RLSSOP";"FT232RLSSOP";"SSOP28DB";"USB UART";"";"IC-00870";"";"";"";
"U3";"74LVC1G04";"INVERTER_SOT353-5";"SOT353";"Single inverter, SOT23-5";"";"IC-10843";"";"74LVC1G04";"";
"U4";"LM25011";"LM25011";"HVSS0P-10";"The LM25011 constant on-time step-down switching regulator";"";"IC-12528";"";"";"";
"U5";"DRV8811";"DRV8811";"HTSSOP28";"";"";"IC-12375";"";"";"";
"U6";"74HC7014D";"74HC7014D";"SOIC-14";"The 74HC7014 is a hex buffer with precision Schmitt-trigger inputs.";"";"IC-12527";"";"";"";
"U7";"7432SE";"7432SE";"SOT353";"Single 2-input OR gate";"";"IC-10842";"";"";"";
"U8";"DRV8811";"DRV8811";"HTSSOP28";"";"";"IC-12375";"";"";"";
"U9";"DRV8811";"DRV8811";"HTSSOP28";"";"";"IC-12375";"";"";"";
"U10";"+12v";"V_REG_78XX7812";"TO-252";"Voltage Regulator";"";"VREG-12370";"";"+12v";"";
"VIN";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"X-A";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"X-B";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"Y-A";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"Y-B";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"Z-A";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
"Z-B";"3.5mm";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"CONN-08399";"";"";"";
