"Part";"Value";"Device";"Package";"Description";"TP_SIGNAL_NAME";
"LED53";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED54";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED55";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED56";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED57";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED58";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED59";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED60";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED61";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED62";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED63";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"LED64";"";"APA1022020";"APA102_2020";"APA102/DotStar Pixels";"";
"V1";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";
"V2";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";
"V3";"TPTP20R";"TPTP20R";"TP20R";"Test pad";"";
