Partlist

Exported from boardEagle.brd at 15/10/2022 22:19

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                                     Package                              Library           Position (mil)        Orientation
IC9      IC_BUFF_SN74LVC1T45DBV                    DBV-R-PDSO-G6                        dp_devices.v6     (2750 625)            R270
IC10     IC_BUFF_SN74LVC1T45DBV                    DBV-R-PDSO-G6                        dp_devices.v6     (3100 1010)           R270
IC11     IC_BUFF_SN74LVC1T45DBV                    DBV-R-PDSO-G6                        dp_devices.v6     (3125 1650)           R270
IC12     74LVC1G07DBV                              SOT23-5                              74xx-little-de    (2750 1500)           R0
IC13     IC_BUFF_SN74LVC1T45DBV                    DBV-R-PDSO-G6                        dp_devices.v6     (2750 1650)           R270
IC14     IC_BL1551                                 SC-70-6                              dp_devices.v6     (1975 250)            R0
IC15     IC_BL1551                                 SC-70-6                              dp_devices.v6     (2325 250)            R0
IC16     74HCT4066PW                               40XX_TSSOP14                         40xx              (3125 225)            R180
J1       CON_HEADER_2X02-PTH                       M2X2                                 dp_devices        (400 1750)            R0
J2       CON_HEADER_1X04                           M1X4                                 dp_devices.v6     (1100 1825)           R0
J3       CON_HEADER_1X03-PTH                       M1X3                                 dp_devices.v6     (575 1600)            R90
J4       CON_HEADER_1X10-RIGHT_ANGLED_PTH_SHROUDED M1X10_MALE_RIGHT_ANGLES_PTH_SHROUDED dp_devices.v6     (3668.70079 984.25197) R270
L1       1.5A ferrite bead                         WE-KI_0805_B                         wuerth-elektronik (275 1131.88976)      R270
LED1     Optional YELLOW                           LED-805                              dp_devices.v6     (787.40157 1850.3937) MR270
LED2     YELLOW                                    LED-805                              dp_devices.v6     (787.40157 1850.3937) R90
LED3     YELLOW                                    LED-805                              dp_devices.v6     (2362.20472 1850.3937) R270
LED4     Optional YELLOW                           LED-805                              dp_devices.v6     (2362.20472 1850.3937) MR90
LED5     YELLOW                                    LED-805                              dp_devices.v6     (3149.6063 1850.3937) R270
LED6     Optional YELLOW                           LED-805                              dp_devices.v6     (3149.6063 1850.3937) MR90
LED7     YELLOW                                    LED-805                              dp_devices.v6     (1574.80315 1850.3937) R90
LED8     Optional YELLOW                           LED-805                              dp_devices.v6     (1574.80315 1850.3937) MR270
R1       1.5K                                      R603                                 dp_devices.v6     (485 1106.88976)      R90
R2       22R                                       R603                                 dp_devices.v6     (385 1106.88976)      R270
R3       22R                                       R603                                 dp_devices.v6     (435 1106.88976)      R270
R4       10K                                       R603                                 dp_devices        (1725 250)            R270
R5       10K                                       R603                                 dp_devices.v6     (670 410)             R0
R6       10K                                       R603                                 dp_devices        (2450 450)            R270
R7       10K                                       R0603                                rcl               (216.88976 1543.75)   R180
R8       10K                                       R0603                                rcl               (216.88976 1625)      R180
R9       10K                                       R0603                                resistor          (2900 375)            R180
R10      10K                                       R0603                                resistor          (2615 345)            R0
R11      10K                                       R0603                                resistor          (275 500)             R270
R12      10K                                       R0603                                resistor          (275 375)             R90
R13      1K1                                       R603                                 dp_devices        (972.24409 1850.3937) R0
R14      1K1                                       R603                                 dp_devices        (2197.44094 1850.3937) R180
R15      10K                                       R0603                                rcl               (2290 450)            R270
R16      10K                                       R0603                                rcl               (2380 450)            R270
R17      1K1                                       R603                                 dp_devices        (2977.3622 1850.3937) R180
R18      1K1                                       R603                                 dp_devices        (1752.16535 1850.3937) R0
R19      100K                                      R0603                                rcl               (3010 475)            R90
R20      100K                                      R0603                                rcl               (2625 475)            R90
R21      100K                                      R0603                                rcl               (2985 875)            R90
R22      100K                                      R0603                                rcl               (3010 1500)           R90
R23      100K                                      R0603                                rcl               (2750 1355)           R180
R24      1M                                        R0603                                rcl               (3250 475)            R90
R25      1M                                        R0603                                rcl               (2875 475)            R90
R26      1M                                        R0603                                rcl               (3235 835)            R90
R27      1M                                        R0603                                rcl               (3245 1535)           R90
R28      100K                                      R0603                                rcl               (3275 580)            R180
R29      100K                                      R0603                                rcl               (2900 580)            R180
R30      100K                                      R0603                                rcl               (3235 955)            R90
R31      1M                                        R0603                                rcl               (2875 1500)           R90
R32      100K                                      R0603                                rcl               (3275 1645)           R180
R33      100K                                      R0603                                rcl               (2900 1620)           R180
RN1      10k                                       RN8P-4R-CRA06S                       dp_devices        (725 275)             R0
RN2      10k                                       RN8P-4R-CRA06S                       dp_devices        (900 275)             R0
RN3      10k                                       RN8P-4R-CRA06S                       dp_devices        (1500 175)            R0
RN4      10k                                       RN8P-4R-CRA06S                       dp_devices        (3415 250)            R90
SW1                                                SW_TACT_SMALL                        dp_devices.v6     (2755.90551 196.85039) R180
SW2                                                SW_TACT_SMALL                        dp_devices.v6     (1181.10236 196.85039) R180
U1       IC_MEM_W25X40CL                           SOIC-8                               dp_devices.v6     (900 1657)            R180
U2       IC_UC_STM32F103ZX                         TQFP-144                             dp_devices.v6     (1025 984.25197)      R0
U3       IC_FPGA_ICE40HX4K                         TQFP-144                             dp_devices.v6     (2129.5 984.25197)    R0
VR1      MCP1801T-3302I/OT                         SOT-23-5@1                           dp_devices        (1525 1581.88976)     R180
VR2      MCP1801T-3302I/OT                         SOT-23-5@1                           dp_devices        (2150 250)            R180
VR3      MCP1801T-1202I/OT                         SOT-23-5@1                           dp_devices        (1625 450)            R270
VR4      MCP1801T-5002I/OT                         SOT-23-5@1                           dp_devices        (1825 250)            R180
XTAL1    8Mhz                                      XTAL_4X6                             dp_devices        (400 806.88976)       R90
