"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MP";"PACKAGE";"PRICE";
"Q1";"BSS138";"MOSFET-NWIDE";"SOT23-WIDE";"N-Channel Mosfet";"";"";"";"";"";"";"";"";
"Q3";"DMG3415U-7";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";"";"";"";"";
"Q4";"BSS138";"MOSFET-NREFLOW";"SOT23-R";"N-Channel Mosfet";"";"";"";"";"";"";"";"";
"R1";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R2";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R3";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R4";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R5";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R6";"47K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R7";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R8";"5.1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R9";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R10";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R11";"100";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R12";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R13";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R14";"1Meg";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R16";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R17";"1Meg";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R18";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"R20";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";
"SENSE";"JST PH 3";"CON_JST_PH_3PIN";"JSTPH3";"";"";"";"";"";"";"";"";"";
"SENSE1";"JST PH 3";"CON_JST_PH_3PIN";"JSTPH3";"";"";"";"";"";"";"";"";"";
"SENSE3";"JST PH 3";"CON_JST_PH_3PIN";"JSTPH3";"";"";"";"";"";"";"";"";"";
"SJ1";"";"SOLDERJUMPERCLOSED";"SOLDERJUMPER_CLOSEDWIRE";"SMD Solder JUMPER";"";"";"";"";"";"";"";"";
"SJ2";"";"SOLDERJUMPER_2WAY";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";"2-Way Solder Jumper";"";"";"";"";"";"";"";"";
"SP1";"7.5mm SPK";"SPEAKER_7.5MM";"BUZZER_SMT_7.5MM";"SPEAKER Source: BuerklinAdded PS12 (for part # PS1240 piezo) http://www.ladyada.net/library/pcb/eaglelibrary.html";"";"";"";"";"";"";"";"";
"SW2";"FSM2JMTR";"SWITCH_PUSHBUTTON_3.5X6MM";"TACTILE_3X6MM";"Buttons";"";"";"";"";"";"";"";"";
"SW3";"EG1390";"SWITCH_DPDTEG1390";"EG1390";"Switch - DPDT";"";"";"";"";"";"";"";"";
"SW4";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SMT 6mm switch, EVQQ2 series";"";"";"";"";"";"";"";"";
"SW5";"FSM2JMTR";"SWITCH_PUSHBUTTON_3.5X6MM";"TACTILE_3X6MM";"Buttons";"";"";"";"";"";"";"";"";
"SW6";"FSM2JMTR";"SWITCH_PUSHBUTTON_3.5X6MM";"TACTILE_3X6MM";"Buttons";"";"";"";"";"";"";"";"";
"SW7";"FSM2JMTR";"SWITCH_PUSHBUTTON_3.5X6MM";"TACTILE_3X6MM";"Buttons";"";"";"";"";"";"";"";"";
"TFT1";"DISP_TFT_1.54IN_240X240_22P";"DISP_TFT_1.54IN_240X240_22P";"TFT_1.54IN_240X240_22PIN";"";"";"";"";"";"";"";"";"";
"TP1";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";"";"";"";"";"";
"TP2";"";"TESTPOINTROUND1.5MMNO";"TESTPOINT_ROUND_1.5MM_NO";"Test Point";"";"";"";"";"";"";"";"";
