Partlist

Exported from boardEagle.brd at 20/08/2022 19:14

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part      Value                    Package                         Library                     Position (inch)       Orientation
R59       33k                      0402-TIGHT                      SparkFun-Resistors          (1.95 2.31)           R180
R60       33k                      0402-TIGHT                      SparkFun-Resistors          (1.95 2.39)           R0
R61       33k                      0402-TIGHT                      SparkFun-Resistors          (2.2 1.99)            R0
R62       33k                      0402-TIGHT                      SparkFun-Resistors          (2.14 1.97)           R90
R63       33k                      0402-TIGHT                      SparkFun-Resistors          (2.2 2.31)            R0
R64       33k                      0402-TIGHT                      SparkFun-Resistors          (2.2 2.39)            R180
R65       10?                      0402-TIGHT                      SparkFun-Resistors          (2.32 2.025)          R90
S1        Reset                    TACTILE_SWITCH_SMD_5.2MM        SparkFun-Switches           (0.4 0.42)            R90
S2        DNP                      TACTILE_SWITCH_PTH_RIGHT_ANGLE  SparkFun-Switches           (0.1 0.44)            R270
S3        User                     TACTILE_SWITCH_SMD_5.2MM        SparkFun-Switches           (0.4 2.43)            R90
S4        DNP                      TACTILE_SWITCH_PTH_RIGHT_ANGLE  SparkFun-Switches           (0.1 2.43)            R270
TP1       I2C_SCK                  TP_15TH                         SparkFun-Connectors         (1.15 0.1)            R90
TP2       I2C_SDA                  TP_15TH                         SparkFun-Connectors         (1.25 0.1)            R90
TP4       MCLK                     TP_15TH                         SparkFun-Connectors         (1 2.1)               R0
TP5       SWDIO/TMS                TP_15TH                         SparkFun-Connectors         (0.85 0.4)            R90
TP6       SWCK/TCK                 TP_15TH                         SparkFun-Connectors         (1.05 0.3)            R90
TP7       TDO                      TP_15TH                         SparkFun-Connectors         (1.45 0.4)            R90
TP8       TDI                      TP_15TH                         SparkFun-Connectors         (1.3 0.4)             R90
TP9       NRESET                   TP_15TH                         SparkFun-Connectors         (0.65 0.3)            R0
U1        LM1117                   SOT223                          SparkFun-IC-Power           (2.1 0.7)             R270
U3        ATSAMS70N20A-AN          LQFP100                         SparkFun-IC-Microcontroller (1.05 0.8)            R270
U4        LMV324                   SO14                            SparkFun-IC-Amplifiers      (2.1 2.15)            R180
U5        LM1117                   SOT223                          SparkFun-IC-Power           (2.1 1.59)            R270
U6        6N138M                   8-SMD                           SparkFun-DiscreteSemi       (0.72 2.19)           R180
U7        ADAU1328                 LQFP-48                         tsunami                     (1.5 2)               R0
U8        74AHC1G125W5-7           SOT23-5                         SparkFun-IC-Logic           (1.04 2.36)           R0
Y1        11.2896 MHz              CRYSTAL-OSC-SMD-5X3             SparkFun-Clocks             (1.55 1)              R90
