Partlist

Exported from boardEagle.brd at 17/08/2022 23:04

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                 Package              Library                    Position (inch)       Orientation
R24      100                   0603-RES             SparkFun-Passives          (2.16 0.35)           R90
R25      DNP                   0603-RES             SparkFun-Passives          (2.225 0.35)          R90
R26      DNP                   0603-RES             SparkFun-Passives          (2.095 0.35)          R90
R27      DNP                   0603-RES             SparkFun-Passives          (1.965 0.35)          R90
R28      DNP                   0603-RES             SparkFun-Passives          (1.835 0.35)          R90
R29      DNP                   0603-RES             SparkFun-Passives          (1.705 0.35)          R90
R30      DNP                   0603-RES             SparkFun-Passives          (1.575 0.35)          R90
R31      DNP                   0603-RES             SparkFun-Passives          (1.445 0.35)          R90
R32      DNP                   0603-RES             SparkFun-Passives          (1.315 0.35)          R90
R33      100                   0603-RES             SparkFun-Passives          (1.065 0.35)          R90
R34      100                   0603-RES             SparkFun-Passives          (0.935 0.35)          R90
R35      100                   0603-RES             SparkFun-Passives          (0.805 0.35)          R90
R36      100                   0603-RES             SparkFun-Passives          (0.675 0.35)          R90
R37      100                   0603-RES             SparkFun-Passives          (0.54 0.35)           R90
R38      100                   0603-RES             SparkFun-Passives          (0.41 0.35)           R90
R39      100                   0603-RES             SparkFun-Passives          (0.28 0.35)           R90
R40      100                   0603-RES             SparkFun-Passives          (0.93 0.635)          R0
R41      DNP                   0603-RES             SparkFun-Passives          (1.13 0.35)           R90
R42      DNP                   0603-RES             SparkFun-Passives          (1 0.35)              R90
R43      DNP                   0603-RES             SparkFun-Passives          (0.87 0.35)           R90
R44      DNP                   0603-RES             SparkFun-Passives          (0.74 0.35)           R90
R45      DNP                   0603-RES             SparkFun-Passives          (0.605 0.35)          R90
R46      DNP                   0603-RES             SparkFun-Passives          (0.475 0.35)          R90
R47      DNP                   0603-RES             SparkFun-Passives          (0.345 0.35)          R90
R48      DNP                   0603-RES             SparkFun-Passives          (0.77 0.635)          R180
R49      240                   0603-RES             SparkFun-Resistors         (0.9 1.9)             R90
R50      715                   0603-RES             SparkFun-Resistors         (0.8 2.2)             R270
S1                             SWITCH-SPST-SMD-A    SparkFun-Electromechanical (0.415 2.18)          R0
S2       SWITCH-MOMENTARY-2SMD TACTILE_SWITCH_SMD   SparkFun-Electromechanical (0.12 0.405)          R90
SJ2      SOLDERJUMPERNO        SJ_2S-NO             SparkFun-Passives          (2.395 1.445)         R90
SJ3      SOLDERJUMPERTRACE     SJ_2S-TRACE          SparkFun-Passives          (1.225 2.095)         R0
SJ4      SOLDERJUMPERTRACE     SJ_2S-TRACE          SparkFun-Passives          (1.225 2.165)         R180
SJ5      SOLDERJUMPERTRACE     SJ_2S-TRACE          SparkFun-Passives          (1.225 2.235)         R0
U1                             SOT223               SparkFun-PowerIC           (0.71 1.9)            R180
U2       MIC5323-3.3           SOT23-5              SparkFun-PowerIC           (1.05 1.9)            R180
U4       STM32F405RG           TQFP64               SparkFun-DigitalIC         (1.7 0.85)            R270
U5       PCM5100               PW_R-PDSO-G20        robertsonics               (1.5 1.8)             R180
U6       LM4990                S-PDSO-G08           robertsonics               (2.3 1.9)             R0
Y1       8MHz                  HC49UP               SparkFun-FreqCtrl          (1.1 0.9)             R90
