"Part";"Value";"Device";"Package";"Description";"ALIAS";"AVAILABILITY";"CURRENT";"DESC";"DESCRIPTION";"DIGIKEYPN";"MF";"MPN";"PACKAGE";"POWER";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_ID";"TEMPHIGH";"TEMPLOW";"TOLERANCE";"VALUE";"VOLTHIGH";"VOLTLOW";
"C11";"1u";"CAP-1U-25V-1-0402";"CAPC1005X55N";"CAPACITOR";"";"";"";"CAP CER 1UF 25V X5R 0402";"";"445-9081-1-ND";"TDK";"C1005X5R1E105M050BC";"";"";"";"CAP-12417";"";"";"";"";"";"1u";"25V";"";
"C12";"56p";"CAP-56PF-50V-0402";"CAPC1005X55N";"CAPACITOR";"";"";"";"CAP CER 56PF 50V C0G/NP0 0402";"";"399-1020-1-ND‎";"Kemet";"C0402C560J5GACTU‎";"";"";"";"CAP-15409";"";"";"";"";"";"56p";"50V";"";
"C13";"4.7u";"CAP-4.7U-6.3V-2-0603";"C0603";"CAPACITOR";"";"";"";"CAP CER 4.7UF 6.3V X7R 0603";"";"587-4906-1-ND";"";"JMK107BB7475MA-T";"";"";"";"CAP-08280";"";"";"125";"-55";"";"4.7u";"6.3V";"";
"C14";"0.1u";"CAP-0.1U-50V-0402";"CAPC1005X55N";"CAPACITOR";"";"";"";"CAP CER 0.1UF 50V X5R 0402";"";"587-3499-1-ND";"Taiyo Yuden";"UMK105BJ104KV-F";"";"";"";"CAP-15083";"";"";"";"";"";"0.1u";"50V";"";
"C15";"4.7u";"CAP-4.7U-6.3V-2-0603";"C0603";"CAPACITOR";"";"";"";"CAP CER 4.7UF 6.3V X7R 0603";"";"587-4906-1-ND";"";"JMK107BB7475MA-T";"";"";"";"CAP-08280";"";"";"125";"-55";"";"4.7u";"6.3V";"";
"C16";"0.1u";"CAP-0.1U-50V-0402";"CAPC1005X55N";"CAPACITOR";"";"";"";"CAP CER 0.1UF 50V X5R 0402";"";"587-3499-1-ND";"Taiyo Yuden";"UMK105BJ104KV-F";"";"";"";"CAP-15083";"";"";"";"";"";"0.1u";"50V";"";
"C17";"0.1u";"CAP-0.1U-50V-0402";"CAPC1005X55N";"CAPACITOR";"";"";"";"CAP CER 0.1UF 50V X5R 0402";"";"587-3499-1-ND";"Taiyo Yuden";"UMK105BJ104KV-F";"";"";"";"CAP-15083";"";"";"";"";"";"0.1u";"50V";"";
"C19";"56p";"CAP-56PF-50V-0402";"CAPC1005X55N";"CAPACITOR";"";"";"";"CAP CER 56PF 50V C0G/NP0 0402";"";"399-1020-1-ND‎";"Kemet";"C0402C560J5GACTU‎";"";"";"";"CAP-15409";"";"";"";"";"";"56p";"50V";"";
"C20";"0.1u";"CAP-0.1U-50V-0402";"CAPC1005X55N";"CAPACITOR";"";"";"";"CAP CER 0.1UF 50V X5R 0402";"";"587-3499-1-ND";"Taiyo Yuden";"UMK105BJ104KV-F";"";"";"";"CAP-15083";"";"";"";"";"";"0.1u";"50V";"";
"D3";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"";"";"";"";"";"";"";"";"DIO-08575";"";"";"";"";"";"BLUE";"";"";
"D4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"";"";"";"";"";"";"";"DIO-09003";"";"";"";"";"";"Yellow";"";"";
"D5";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"";"DIO-11623";"";"";"";"";"";"1A/23V/620mV";"";"";
"D6";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"";"DIO-11623";"";"";"";"";"";"1A/23V/620mV";"";"";
"J1";"USB Female C";"USB_C_4-LAYER_PADS";"USB-C-16P_4LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"";"";"";"";"";"";"";"CONN-14122";"";"";"";"";"";"";"";"";
"J2";"CON-HEADER-1X12-MALE-PIN";"CON-HEADER-1X12-MALE-PIN";"CON-HEADER-1X12-MALE-PIN";"";"POGO-1.9MM-S19-501";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"CON-HEADER-1X16-MALE-PIN";"CON-HEADER-1X16-MALE-PIN";"CON-HEADER-1X16-MALE-PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"CON-1909763-1";"CON-1909763-1";"TE_1909763-1";"VAO ITEM, MINI RF HEADER";"";"";"";"CONN UMCC JACK STR 50OHM SMD";"";"A118077CT-ND";"TE Connectivity";"1909763-1";"";"";"";"CONN-15410 ";"";"";"";"";"";"";"";"";
"J5";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"CONN-11443";"";"PRT-08612";"";"";"";"";"";"";
"J6";"CON-SIM-104224-0820";"CON-SIM-104224-0820";"MOLEX_104224-0820";"Conn SIM SKT 6 POS 2.54mm Solder RA SMD";"";"";"";"NANOSIM SOCKET 1.11H P/PULL TYPE";" 6 Position Card Connector NANO SIM Surface Mount, Right Angle Gold ";"";"Molex";"104224-0820";"None";"";"None";"CONN-15682";"";"";"";"";"";"";"";"";
"J7";"CON-1909763-1";"CON-1909763-1";"TE_1909763-1";"VAO ITEM, MINI RF HEADER";"";"";"";"CONN UMCC JACK STR 50OHM SMD";"";"A118077CT-ND";"TE Connectivity";"1909763-1";"";"";"";"CONN-15410 ";"";"";"";"";"";"";"";"";
"J8";"CON-FTSH-105-XX-X-DV";"CON-FTSH-105-XX-X-DV";"SAMTEC_FTSH-105-XX-X-DV";"Connector Header Surface Mount 10 position 0.050" (1.27mm)  Check prices";"";"";"";"";" Connector Header Surface Mount 10 position 0.050 (1.27mm) ";"SAM8796-ND";"Samtec";"FTSH-105-01-F-DV-K";"";"";"None";"CONN-15353";"https://pricing.snapeda.com/search/part/FTSH-105-01-F-DV-K/?ref=eda";"";"";"";"";"";"";"";
"J10";"QWIIC_RIGHT_ANGLE";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";"";"";"";"";"";"";"";"CONN-13694";"";"";"";"";"";"QWIIC_RIGHT_ANGLE";"";"";
"JMP1";"JUMPER-NC";"JUMPER-NC";"JUMPER-ROUND-NC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JMP2";"JUMPER-3/1";"JUMPER-3/1";"JUMPER-ROUND-3-NO-R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"39n";"IND-39NH-250MA-0402";"IND0402_22N_TAI";"INDUCTOR";"";"";"250mA";"FIXED IND 39NH 250MA 1.06 OHM";"";"490-1092-1-ND";"";"LQG15HN39NJ02D";"";"";"";"NDUC-15408";"";"";"";"";"";"39n";"";"";
"L2";"1.5u";"IND-1.5U-1.4A-2X2";"IND-2P0X2P0X1P2";"FIXED IND 1.5UH 1.4A 120 MOHM";"";"";"1.4A";"FIXED IND 1.5UH 1.4A 120 MOHM";"";"587-4702-1-ND";"";"NRV2012T1R5NGF";"";"";"";"NDUC-15405";"";"";"";"";"";"1.5u";"";"";
"L4";"68n";"IND-68NH-200MA-0402";"IND0402_22N_TAI";"INDUCTOR";"";"";"200mA";"FIXED IND 68NH 200MA 1.25 OHM";"";"‎490-15092-1-ND‎";"";"LQG15HN68NH02D‎";"";"";"";"NDUC-15356";"";"";"";"";"";"68n";"";"";
"PCB1";"PCB-NRF91-FEATHER";"PCB-NRF91-FEATHER";"PLACEHOLDER";"";"";"";"";"";"";"";"";"BRD-0015";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"MOSFET-P-SC89";"MOSFET-P-SC89";"DIO_RB558WMF-L";"MOSFET P-CH";"";"";"";"MOSFET P-CH 20V 0.1A EMT3";"";"RE1C001ZPTLCT-ND";"";"RE1C001ZPTL";"";"";"";"TRANS-15421";"";"";"";"";"";"";"";"";
"Q2";"MOSFET-DUAL-COMP-SOT563";"MOSFET-DUAL-COMP-SOT563";"SOT50P160X60-6N";"";"";"";"";"MOSFET N/P-CH 60V/50V SOT666";"";"1727-1277-1-ND";"";"NX1029X,115";"";"";"";"IC-15419";"";"";"";"";"";"";"";"";
"Q3";"MOSFET-P-20V-4.7A-SOT23";"MOSFET-P-20V-4.7A-SOT23";"SOT23";"MOSFET P-CH";"";"";"";"MOSFET P-CHANNEL 20V 4.7A SOT23";"";"TSM500P02CXRFGCT-ND";"";"TSM500P02CX RFG";"";"";"";"TRANS-14388";"";"";"";"";"";"";"";"";
"Q4";"MOSFET-N-SC89";"MOSFET-N-SC89";"DIO_RB558WMF-L";"";"";"";"";"MOSFET N-CH 20V 0.2A EMT3";"";"RE1C002UNTCLCT-ND";"Rohm Semiconductor";"RE1C002UNTCL";"";"";"";"TRANS-15420";"";"";"";"";"";"";"";"";
"Q5";"MOSFET-N-SC89";"MOSFET-N-SC89";"DIO_RB558WMF-L";"";"";"";"";"MOSFET N-CH 20V 0.2A EMT3";"";"RE1C002UNTCLCT-ND";"Rohm Semiconductor";"RE1C002UNTCL";"";"";"";"TRANS-15420";"";"";"";"";"";"";"";"";
"R1";"100k";"RES-100K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 100K OHM 1% 1/16W 0402";"";"311-100KLRCT-ND";"";"RC0402FR07100KL";"";"1/16W";"";"RES-13495";"";"";"";"";"1%";"100k";"";"";
"R2";"1M";"RES-1M-5%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 1M OHM 5% 1/16W 0402";"";"311-1.0MJRCT-ND";"";"RC0402JR-071ML";"";"1/16W";"";"RES-15185";"";"";"";"";"5%";"1M";"";"";
"R3";"100k";"RES-100K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 100K OHM 1% 1/16W 0402";"";"311-100KLRCT-ND";"";"RC0402FR07100KL";"";"1/16W";"";"RES-13495";"";"";"";"";"1%";"100k";"";"";
"R4";"1k";"RES-1K-5%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 1K OHM 5% 1/16W 0402";"";"311-1.0KJRCT-ND";"";"RC0402JR-071KL";"";"1/16W";"";"RES-14342";"";"";"";"";"5%";"1k";"";"";
"R5";"100k";"RES-100K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 100K OHM 1% 1/16W 0402";"";"311-100KLRCT-ND";"";"RC0402FR07100KL";"";"1/16W";"";"RES-13495";"";"";"";"";"1%";"100k";"";"";
"R6";"100k";"RES-100K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 100K OHM 1% 1/16W 0402";"";"311-100KLRCT-ND";"";"RC0402FR07100KL";"";"1/16W";"";"RES-13495";"";"";"";"";"1%";"100k";"";"";
"R7";"100k";"RES-100K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 100K OHM 1% 1/16W 0402";"";"311-100KLRCT-ND";"";"RC0402FR07100KL";"";"1/16W";"";"RES-13495";"";"";"";"";"1%";"100k";"";"";
"R8";"100k";"RES-100K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 100K OHM 1% 1/16W 0402";"";"311-100KLRCT-ND";"";"RC0402FR07100KL";"";"1/16W";"";"RES-13495";"";"";"";"";"1%";"100k";"";"";
"R9";"1M";"RES-1M-5%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 1M OHM 5% 1/16W 0402";"";"311-1.0MJRCT-ND";"";"RC0402JR-071ML";"";"1/16W";"";"RES-15185";"";"";"";"";"5%";"1M";"";"";
"R10";"100k";"RES-100K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 100K OHM 1% 1/16W 0402";"";"311-100KLRCT-ND";"";"RC0402FR07100KL";"";"1/16W";"";"RES-13495";"";"";"";"";"1%";"100k";"";"";
"R11";"330";"RES-330-5%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 330 OHM 5% 1/16W 0402";"";"311-330JRCT-ND";"Yageo";"RC0402JR-07330RL";"";"";"";"RES-15407";"";"";"";"";"5%";"330";"";"";
"R12";"2k";"RES-2K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 2K OHM 1% 1/16W 0402";"";"311-2KLRCT-ND";"";"RC0402FR-072KL";"";"1/16W";"";"RES-15406";"";"";"";"";"1%";"2k";"";"";
"R13";"100k";"RES-100K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 100K OHM 1% 1/16W 0402";"";"311-100KLRCT-ND";"";"RC0402FR07100KL";"";"1/16W";"";"RES-13495";"";"";"";"";"1%";"100k";"";"";
"R14";"330";"RES-330-5%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 330 OHM 5% 1/16W 0402";"";"311-330JRCT-ND";"Yageo";"RC0402JR-07330RL";"";"";"";"RES-15407";"";"";"";"";"5%";"330";"";"";
"R15";"22k";"RES-22K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 22K OHM 1% 1/16W 0402";"";"311-22.0KLRCT-ND";"Yageo";"RC0402FR-0722KL";"";"1/16W";"";"RES-14281";"";"";"";"";"1%";"22k";"";"";
"R16";"33k";"RES-33K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 33K OHM 1% 1/16W 0402";"";"311-33.0KLRCT-ND";"Yageo";"RC0402FR-0722KL";"";"1/16W";"";"RES-15128";"";"";"";"";"1%";"33k";"";"";
"R17";"10k";"RES-10K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"";"";"311-10.0KHRCT-ND";"";"RC0603FR-0710KL";"";"";"";"RES-14241";"";"";"155";"-55";"1%";"10k";"";"";
"R18";"10k";"RES-10K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"";"";"311-10.0KHRCT-ND";"";"RC0603FR-0710KL";"";"";"";"RES-14241";"";"";"155";"-55";"1%";"10k";"";"";
"R19";"1M";"RES-1M-5%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 1M OHM 5% 1/16W 0402";"";"311-1.0MJRCT-ND";"";"RC0402JR-071ML";"";"1/16W";"";"RES-15185";"";"";"";"";"5%";"1M";"";"";
"R20";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"";"";"";"";"";"";"";"";"";"";"RES-14340";"";"";"";"";"";"5.1k";"";"";
"R21";"5.1k";"5.1KOHM-0402T-1/16W-1%";"0402-TIGHT";"";"";"";"";"";"";"";"";"";"";"";"";"RES-14340";"";"";"";"";"";"5.1k";"";"";
"R23";"100k";"RES-100K-1%-0402";"R0402-M";"RESISTOR";"";"";"";"RES SMD 100K OHM 1% 1/16W 0402";"";"311-100KLRCT-ND";"";"RC0402FR07100KL";"";"1/16W";"";"RES-13495";"";"";"";"";"1%";"100k";"";"";
"SW1";"";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"SWCH-15606";"";"";"";"";"";"";"";"";
"SW2";"";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"SWCH-15606";"";"";"";"";"";"";"";"";
"TP1";"TP-1SIDE-1P0";"TP-1SIDE-1P0";"TP-1P0";"TEST POINT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP2";"TP-1SIDE-1P0";"TP-1SIDE-1P0";"TP-1P0";"TEST POINT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP3";"TP-1SIDE-1P0";"TP-1SIDE-1P0";"TP-1P0";"TEST POINT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP4";"TP-1SIDE-1P0";"TP-1SIDE-1P0";"TP-1P0";"TEST POINT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP5";"TP-1SIDE-1P0";"TP-1SIDE-1P0";"TP-1P0";"TEST POINT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP6";"TP-1SIDE-1P0";"TP-1SIDE-1P0";"TP-1P0";"TEST POINT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"FIDUCIAL-1MM";"FIDUCIAL-1MM";"FIDUCIAL-1MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"FIDUCIAL-1MM";"FIDUCIAL-1MM";"FIDUCIAL-1MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$24";"FIDUCIAL-1MM";"FIDUCIAL-1MM";"FIDUCIAL-1MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$31";"MOUNTING-HOLE-2.5MM-PLATED";"MOUNTING-HOLE-2.5MM-PLATED";"MOUNTING-HOLE-2.5MM-PLATED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$32";"MOUNTING-HOLE-2.5MM-PLATED";"MOUNTING-HOLE-2.5MM-PLATED";"MOUNTING-HOLE-2.5MM-PLATED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$35";"FIDUCIAL-1MM";"FIDUCIAL-1MM";"FIDUCIAL-1MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"MOD-NRF9160-SICA-R";"MOD-NRF9160-SICA-R";"NORDIC_NRF9160-SICA-R";"NRF9160-SICA-R";"";"";"";"IC RF TXRX+MCU CELL LTE-M/NB-IOT";"";"1490-1076-1-ND";"Nordic Semiconductor";"NRF9160-SICA-R";"";"";"";"IC-15418";"";"";"";"";"";"";"";"";
"U2";"MCP73831";"MCP73831";"SOT23-5";"MCP73831T Li-Ion, Li-Pol Controller";"";"";"";"";"";"";"";"";"";"";"";"IC-09995";"";"";"";"";"";"";"";"";
"U3";"IC-TPS63031DSKR";"IC-TPS63031DSKR";"DSK0010A";"";"";"";"";"IC REG BCK BST 3.3V 900MA 10SON";"";"296-39461-1-ND";"Texas Instruments";"TPS63031DSKR";"";"";"";"IC-15417";"";"";"";"";"";"";"";"";
"U4";"POWER-SWITCH-MIC94092YC6";"POWER-SWITCH-MIC94092YC6";"SOT363";"IC SWITCH";"";"";"";"IC LOAD SW HGH SIDE 1.2A SC70-6";"";"576-3488-1-ND";"";"MIC94092YC6-TR";"";"";"";"IC-15422";"";"";"";"";"";"";"";"";
"U5";"IC-CP2102N-A02-GQFN24R";"IC-CP2102N-A02-GQFN24R";"QFN50P400X400X80-25N";"Check prices";"";"";"";" USB Bridge, USB to UART USB 2.0 UART Interface 24-QFN (4x4) ";"";"336-5888-1-ND";"Silicon Labs";"CP2102N-A02-GQFN24R";"";"";"";"IC-14020";"";"";"";"";"";"";"";"";
"U6";"FLASH-WSON";"FLASH-W25Q32JVZPIQ-WSON";"WIN_ZP-8-L";"NOR FLASH";"";"";"";"IC FLASH 32M SPI 133MHZ 8WSON";"";"W25Q32JVZPIQ-ND";"";"W25Q32JVZPIQ";"";"";"";"IC-15681";"";"";"";"";"";"";"";"";
"U8";"IC-PCF85063ATL/1";"IC-PCF85063ATL/1";"DFN10_2P7X2P7-L";"";"";"";"";"IC RTC CLK/CALENDAR I2C 10-SON";"";"568-10235-1-ND";"NXP";"PCF85063ATL/1,118";"";"";"";"IC-15415";"";"";"";"";"";"";"";"";
"U9";"IC-BAV70S";"IC-BAV70S";"SOT363";"";"";"";"";"DIODE ARRAY GP 100V 250MA 6TSSOP";"";"1727-4310-1-ND";"Nexperia USA Inc.";"BAV70S,115";"";"";"";"DIO-15412";"";"";"";"";"";"";"";"";
"U12";"IC-LIS2DH12TR";"IC-LIS2DH12TR";"PQFN50P200X200100-12N";"ACCEL 2-16G I2C/SPI 12LGA";"";"Good";"";"";" MEMS digital output motion sensor: ultra low-power high performance 3-axes femto accelerometer ";"497-14851-1-ND";"STMicroelectronics";"LIS2DH12TR";"LGA-12 STMicroelectronics";"";"0.85 USD";"IC-14229";"";"";"";"";"";"";"3.6";"1.71";
"Y1";"XTAL-ABS07AIG-32.768KHZ-7-T";"XTAL-ABS07AIG-32.768KHZ-7-T";"XTAL320X150X90";"ABS07 Series 32.768 kHz ±20 ppm 12.5 pF -40 to +85 C SMT Low Profile Crystal";"";"";"";"CRYSTAL 32.768KHZ 7PF SMD";"";"535-13350-1-ND";"Abracon";"ABS07AIG-32.768KHZ-7-T";"";"";"";"XTAL-13062";"";"";"";"";"";"";"";"";
