"Part";"Value";"Device";"Package";"Description";"DESIGNER";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";"VERSION";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";"";
"FRAME2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"Nobody";"";"";"";"";"v01";
"J1";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J2";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J3";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J4";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J5";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J6";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J7";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J8";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J9";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J10";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J11";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J12";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J13";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J14";"SEWTAP_LONG-2SIDE";"SEWTAP_LONG-2SIDE";"PETAL-LONG-1-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"J15";"AMP FCI 10103594-0001LF";"USB_MICRO-B_HALF_PTH";"USB-MICROB-PTH";"USB Type Micro-B Connector";"";"CONN-13711";"";"";"AMP FCI 10103594-0001LF";"";
"J16";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"CONN-11443";"PRT-08612";"";"";"";
"JP1";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";"";
"JP3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";"";
"JP4";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP5";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP6";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP7";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP8";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP9";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP10";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP11";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";"";
"JP12";"SEWTAP_MEDIUM-2SIDE";"SEWTAP_MEDIUM-2SIDE";"PETAL-MEDIUM-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP13";"SEWTAP_MEDIUM-2SIDE";"SEWTAP_MEDIUM-2SIDE";"PETAL-MEDIUM-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP14";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";"";
"JP20";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP21";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP22";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP23";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP24";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP25";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP26";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"JP27";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"LED1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"";"RED";"";
"LED2";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"DIO-09003";"";"";"Yellow";"";
"LED3";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"DIO-00821";"";"";"GREEN";"";
"LED4";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"";"DIO-09004";"";"";"WHITE";"";
"LED5";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"";"DIO-09004";"";"";"WHITE";"";
"LED6";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"";"DIO-09004";"";"";"WHITE";"";
"LED7";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"";"DIO-09004";"";"";"WHITE";"";
"LED8";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"";"DIO-09004";"";"";"WHITE";"";
"LED9";"WHITE";"LED-WHITE0603";"LED-0603";"White SMD LED";"";"DIO-09004";"";"";"WHITE";"";
"LOGO1";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME.1_INCH";"SFE_LOGO_NAME_.1";"SparkFun Font Logo";"";"";"";"";"";"";
"LOGO2";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME.1EXP";"SFE_LOGO_FLAME_COPPER_EXPOSED_.1";"SparkFun Flame Logo";"";"";"";"";"";"";
"LOGO4";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";
"LOGO5";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";
"LOGO6";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";
"R1";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"RES-00818";"";"";"330";"";
"R2";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";"";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";"";
"R4";"22";"22OHM-0402-1/10W-1%";"0402";"22Ω resistor";"";"RES-12427";"";"";"22";"";
"R5";"22";"22OHM-0402-1/10W-1%";"0402";"22Ω resistor";"";"RES-12427";"";"";"22";"";
"R6";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"RES-08272";"";"";"2.2k";"";
"R7";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"RES-00818";"";"";"330";"";
"R8";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"";"RES-13829";"";"";"470";"";
"R9";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"";"RES-13829";"";"";"470";"";
"R10";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"";"RES-13829";"";"";"470";"";
"R11";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"";"RES-13829";"";"";"470";"";
"R12";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"";"RES-13829";"";"";"470";"";
"R13";"470";"470OHM-0402-1/16W-5%";"0402";"470Ω resistor";"";"RES-13829";"";"";"470";"";
"R14";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"RES-00818";"";"";"330";"";
"R15";"22";"22OHM-0402-1/10W-1%";"0402";"22Ω resistor";"";"RES-12427";"";"";"22";"";
"R16";"22";"22OHM-0402-1/10W-1%";"0402";"22Ω resistor";"";"RES-12427";"";"";"22";"";
"R17";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"";"1k";"";
"R24";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"";"10k";"";
"R25";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"RES-07863";"";"";"100";"";
"R26";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"RES-07863";"";"";"100";"";
"R27";"150";"150OHM-0603-1/10W-1%";"0603";"150Ω resistor";"";"RES-11028";"";"";"150";"";
"R28";"150";"150OHM-0603-1/10W-1%";"0603";"150Ω resistor";"";"RES-11028";"";"";"150";"";
"R29";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"RES-07863";"";"";"100";"";
"R30";"100";"100OHM-0603-1/10W-1%";"0603";"100Ω resistor";"";"RES-07863";"";"";"100";"";
"R31";"150";"150OHM-0603-1/10W-1%";"0603";"150Ω resistor";"";"RES-11028";"";"";"150";"";
"R32";"150";"150OHM-0603-1/10W-1%";"0603";"150Ω resistor";"";"RES-11028";"";"";"150";"";
"S1";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"";"SWCH-08179";"";"COM-00597";"";"";
"S2";"!RESET";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-08247";"";"COM-08720";"";"";
"S3";"";"SWITCH-DPDT-SMD-AYZ0202";"SWITCH_DPDT_SMD_AYZ0202";"Double-Pole, Double-Throw (DPDT) Switch";"";"SWCH-08179";"";"COM-00597";"";"";
"S4";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"SWCH-08247";"";"COM-08720";"";"";
"SEWTAPLS+";"PLUS";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"SEWTAPLS-";"MINUS";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"SEWTAPLSOUT";"OUT";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"SLIDEOFF";"SEWTAP_MEDIUM-2SIDE";"SEWTAP_MEDIUM-2SIDE";"PETAL-MEDIUM-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"SLIDEON";"SEWTAP_MEDIUM-2SIDE";"SEWTAP_MEDIUM-2SIDE";"PETAL-MEDIUM-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"ST1";"SEWTAP-NOHOLE_SM_NH";"SEWTAP-NOHOLE_SM_NH";"PETAL-SMALL-NOHOLE";"SparkFun LilyPad Sew Taps without Holes";"";"";"";"";"";"";
"ST2";"SEWTAP-NOHOLE_SM_NH";"SEWTAP-NOHOLE_SM_NH";"PETAL-SMALL-NOHOLE";"SparkFun LilyPad Sew Taps without Holes";"";"";"";"";"";"";
"ST3";"SEWTAP-NOHOLE_SM_NH";"SEWTAP-NOHOLE_SM_NH";"PETAL-SMALL-NOHOLE";"SparkFun LilyPad Sew Taps without Holes";"";"";"";"";"";"";
"TP1";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";
"TP2";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";
"TP3";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";
"TP4";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";
"TP5";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";
"TP6";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";
"TP7";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";
"TP8";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";
"U$1";"LILYLOGO_SHORT";"LILYLOGO_SHORT";"LILYPAD-WEARABLES_LOGO-LILYPAD";"";"";"";"";"";"";"";
"U$13";"LILYLOGO_SHORT";"LILYLOGO_SHORT";"LILYPAD-WEARABLES_LOGO-LILYPAD";"";"";"";"";"";"";"";
"U$35";"SEWTAP-NOHOLE_SM_NH";"SEWTAP-NOHOLE_SM_NH";"PETAL-SMALL-NOHOLE";"SparkFun LilyPad Sew Taps without Holes";"";"";"";"";"";"";
"U$36";"SEWTAP-NOHOLE_SM_NH";"SEWTAP-NOHOLE_SM_NH";"PETAL-SMALL-NOHOLE";"SparkFun LilyPad Sew Taps without Holes";"";"";"";"";"";"";
"U$37";"SEWTAP-NOHOLE_SM_NH";"SEWTAP-NOHOLE_SM_NH";"PETAL-SMALL-NOHOLE";"SparkFun LilyPad Sew Taps without Holes";"";"";"";"";"";"";
"U$38";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"U$39";"SEWTAP_SMALL-2SIDE";"SEWTAP_SMALL-2SIDE";"PETAL-SMALL-2SIDE";"SparkFun LilyPad Sew Taps";"";"";"";"";"";"";
"U$40";"SEWTAP-NOHOLE_SM_NH";"SEWTAP-NOHOLE_SM_NH";"PETAL-SMALL-NOHOLE";"SparkFun LilyPad Sew Taps without Holes";"";"";"";"";"";"";
"U$41";"GATOR_HOLE_PAIR";"GATOR_HOLE_PAIR";"GATOR_HOLES";"";"";"";"";"";"";"";
"U$42";"GATOR_HOLE_PAIR";"GATOR_HOLE_PAIR";"GATOR_HOLES";"";"";"";"";"";"";"";
"U$43";"LILYLOGO_SHORT";"LILYLOGO_SHORT";"LILYPAD-WEARABLES_LOGO-LILYPAD";"";"";"";"";"";"";"";
"U$44";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";"";
"U$51/SDA";"GATOR_HOLE_PAIR";"GATOR_HOLE_PAIR";"GATOR_HOLES";"";"";"";"";"";"";"";
"U$52/SCL";"GATOR_HOLE_PAIR";"GATOR_HOLE_PAIR";"GATOR_HOLES";"";"";"";"";"";"";"";
"U$52/SCL1";"GATOR_HOLE_PAIR";"GATOR_HOLE_PAIR";"GATOR_HOLES";"";"";"";"";"";"";"";
"U$53";"GATOR_HOLE_PAIR";"GATOR_HOLE_PAIR";"GATOR_HOLES";"";"";"";"";"";"";"";
"U$54";"GATOR_HOLE_PAIR";"GATOR_HOLE_PAIR";"GATOR_HOLES";"";"";"";"";"";"";"";
"U$73";"LILYLOGO_ABR";"LILYLOGO_ABR";"LILYPAD-WEARABLES_LOGO-L";"";"";"";"";"";"";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"";"IC-09995";"";"";"";"";
"U2";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"VREG-12457";"";"";"3.3V";"";
"U3";"ALS-PT19";"LIGHT_SENSORALS";"ALS-PT19";"Ambient Light Sensors - Phototransistors";"";"IC-11836";"SEN-12566";"";"";"";
"U5";"32U4";"ATMEGA32U4_NOARDQFN3";"QFN-44-PAD_1:1-LESS_PASTE";"Atmel MCU, 32KByte";"";"IC-10828";"";"";"32U4";"";
"Y1";"8MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"XTAL-08895";"";"";"";"";
