Partlist

Exported from boardEagle.brd at 15/10/2022 22:35

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                                     Package                              Library           Position (mil)        Orientation
R802     22R                                       R402                                 dp_devices.v6     (415 1126.88976)      R270
R803     5K1                                       R402                                 dp_devices.v6     (220 1310)            R90
R804     5K1                                       R402                                 dp_devices.v6     (150 1310)            R90
R805     50K                                       R402                                 dp_devices.v6     (370 640)             R0
R806     50K                                       R402                                 dp_devices.v6     (370 570)             R0
R900     1K1                                       R603                                 dp_devices.v6     (972.24409 1850.3937) R0
R901     1K1                                       R603                                 dp_devices.v6     (2197.44094 1850.3937) R180
R902     1K1                                       R603                                 dp_devices.v6     (2977.3622 1850.3937) R180
R903     1K1                                       R603                                 dp_devices.v6     (1752.16535 1850.3937) R0
RN500    2K                                        RN8P-4R-CRA06S                       dp_devices        (3725 1610)           R0
RN501    2K                                        RN8P-4R-CRA06S                       dp_devices        (3725 350)            R0
U100     STM32F103ZX                               TQFP-144                             dp_devices.v6     (1025 984.25197)      R0
U101     W25X40CL                                  SOIC-8                               dp_devices.v6     (900 1657)            R180
U200     74HCT4067                                 TSSOP-24                             dp_devices.v6     (3190 980)            R90
U201     MCP6001                                   SOT-23-5                             dp_devices.v6     (2245 255)            R90
U202     ADS7041                                   VSSOP-8_DCU_PDSO_G8                  dp_devices.v6     (1850 270)            R180
U300     MCP1824_ADJ                               SOT-23-5                             dp_devices.v6     (310 465)             R270
U301     MCP6001                                   SOT-23-5                             dp_devices.v6     (347 234)             R180
U302     MCP1700                                   SOT-89                               dp_devices.v6     (360 1590)            R0
U303     MCP1801T-1202I/OT                         SOT-23-5@1                           dp_devices        (1625 450)            R270
U400     SN74LVC1T45DBV                            SC-70-6                              dp_devices.v6     (3160 1700)           R270
U401     SN74LVC1T45DBV                            SC-70-6                              dp_devices.v6     (3160 570)            R270
U402     74LVC1G07DBV                              SC-70-5                              dp_devices.v6     (3160 1585)           R270
U403     74LVC1G07DBV                              SC-70-5                              dp_devices.v6     (3160 455)            R270
U404     SN74LVC1T45DBV                            SC-70-6                              dp_devices.v6     (2770 1700)           R270
U405     SN74LVC1T45DBV                            SC-70-6                              dp_devices.v6     (2770 570)            R270
U406     74LVC1G07DBV                              SC-70-5                              dp_devices.v6     (2770 1585)           R270
U407     74LVC1G07DBV                              SC-70-5                              dp_devices.v6     (2770 450)            R270
U408     SN74LVC1T45DBV                            SC-70-6                              dp_devices.v6     (3160 1360)           R270
U409     SN74LVC1T45DBV                            SC-70-6                              dp_devices.v6     (3160 240)            R270
U410     74LVC1G07DBV                              SC-70-5                              dp_devices.v6     (3160 1245)           R270
U411     74LVC1G07DBV                              SC-70-5                              dp_devices.v6     (3160 125)            R270
U412     SN74LVC1T45DBV                            SC-70-6                              dp_devices.v6     (2770 1360)           R270
U413     SN74LVC1T45DBV                            SC-70-6                              dp_devices.v6     (2770 240)            R270
U414     74LVC1G07DBV                              SC-70-5                              dp_devices.v6     (2770 1245)           R270
U415     74LVC1G07DBV                              SC-70-5                              dp_devices.v6     (2770 125)            R270
U500     74HCT4066PW                               TSSOP-14                             dp_devices.v6     (3500 1725)           R0
U501     74HCT4066PW                               TSSOP-14                             dp_devices.v6     (3500 250)            R0
U600     23LC1024                                  SOIC-8                               dp_devices        (1850 1650)           R0
U601     23LC1024                                  SOIC-8                               dp_devices        (2320 1655)           R0
U602     74LVC245A                                 TSSOP-20                             dp_devices.v6     (2860 955)            R270
U700     ICE40HX4K                                 TQFP-144                             dp_devices.v6     (2129.5 984.25197)    R0
XTAL100  8Mhz                                      XTAL_4X6                             dp_devices.v6     (480 836.88976)       R90
